Name,Inventory Icon,Caption,Object Map Link,Element,Additional Element Attack Power (AOE),Additional Element Attack Power (Ranged),Additional Element Attack Power (Rod),Element Cooldown,Destroyed on Hit,Fusable,Fuse Attack Power (Sword),Fuse Attack Power (Large Sword),Fuse Attack Power (Spear),Fuse Attack Power (Arrow),Fuse Attack Power (Shield),Fuse Replace Properties,Fuse Cut or Blunt,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Property 5,Fuse Property 6,Fuse Property 7,Hearts Recovered,Cooking Effect,Cooking Effect Level,Cooking Base Effect Duration,Cooking Effect Time Boost Duration,Cooking Effect Time Boost Success Rate,Sell Price,Buy Price (Rupees),Buy Price (Poes),Dye Color,Needed for Quests,Needed for Armor Upgrades,Scales To,Scale Up On Weapon When Points Total Is,Spawn Time,Despawn Time,Flame Guard Level,Flammable,Burns Out,Freezable,Conducts Electricity,Is Character,Wettability,Forest Dweller Cooldown (First Use),Forest Dweller Cooldown,Name (Japanese),Caption (Japanese),IsUsable,IsEditAttachParamForArrow,IsOverrideDamageAttribute,Cooking Tag 1,Cooking Tag 2,Cooking Tag 3,Cooking Tag (Custom),Cooking Tag (Custom) 2,ActorName,MaterialCategory,MaterialCategory Order,PouchSortKey,Compendium #,Inventory Order (By type)
Silent Princess,,"This lovely flower was said to have been a
favorite of the princess of Hyrule. They were
once feared to have gone extinct, but it's not
uncommon to spot them growing in the wild.",Silent Princess,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,-,Stealth Up,3,00:40,-,-,10,30,-,White,0,72,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,姫しずか,"ハイラル王国の姫が愛したと言われる 可憐な花
以前より絶滅が危惧される種だが
近年 まれに自生しているのを見かける事ができる",FALSE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_J,Plant,03,,253,037
Fortified Pumpkin,,"An extremely tough pumpkin raised for food.
When cooked, that toughness manifests itself
by considerably upping defense.",Fortified Pumpkin,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,0.5,Defense Up,2,00:30,-,-,5,20,-,Orange,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヨロイカボチャ,"食用として栽培される とても硬いカボチャ
料理に使うと カチコチ成分が効いて
防御力を かなり上げる効果がある",TRUE,TRUE,FALSE,CookPlant,-,-,Pumpkin or Carrot,Pumpkin,Item_Fruit_J,Plant,03,,242,038
Sun Pumpkin,,"A new variety of pumpkin that soaks up the
sunshine in Hateno Village. Baked into a dish,
it can help heal the effects of exposure
to gloom.",Sun Pumpkin,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,0.5,Gloom Recovery,4,00:30,-,-,5,20,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヒダマリカボチャ,"ハテノ村で作られている新種のカボチャ
太陽の光をたっぷり浴びて育ち 料理にすると
瘴気に蝕まれた身体を 治癒する効果が得られる",TRUE,TRUE,FALSE,CookPlant,-,-,Pumpkin or Carrot,Pumpkin,Item_Fruit_N,Plant,03,,243,039
Swift Carrot,,"This carrot is cultivated extensively in villages.
It strengthens the legs and hips when cooked
into a dish, which helps increase your
movement speed.",Swift Carrot,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,Speed Up,1,00:10,-,-,4,16,-,Orange,0,10,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ゴーゴーニンジン,"村などでよく作られているニンジン
足腰を強くする効能があると言われており 
調理して食べると 移動速度が上がる",TRUE,TRUE,FALSE,CookPlant,-,-,Pumpkin or Carrot,Carrot,Item_PlantGet_M,Plant,03,,240,040
Stambulb,,"A wild plant with bulging roots often found in
cooler climates. It contains nutrients that
increase endurance. Cook it to restore
stamina.",Stambulb,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.5,Stamina Recovery,1,-,-,-,4,16,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ガンバリ草,"冷涼な気候を好む 根元のふくらんだ野草
そこに体力や持久力を強化する成分が含まれ
料理に使うとがんばりが回復する効果が現れる",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_S,Plant,03,,234,041
Korok Frond,,"A mysterious leaf that looks like it might be
hiding something behind it. It has some
medicinal value. Attach it to a stick and it
can be used as a fan.",Korok Frond,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Fan,-,-,-,-,-,0.25,-,-,-,-,-,3,12,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,コログの葉,"何かが隠れていそうな 不思議な葉っぱ
ちょっとした薬効成分がある
棒などに付けて うちわ代わりに使う事もできる",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_U,Plant,03,1413,256,042
Cool Safflina,,"This medicinal plant grows in high elevations,
such as mountains in the Hebra or Gerudo
regions. When cooked into a dish, it will
temporarily increase your heat resistance.",Cool Safflina,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Heat Resistance,1,00:30,-,-,3,12,-,Light Blue,0,9,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヒンヤリハーブ,"ヘブラやゲルドの標高の高い山地で見かけられる
薬草の一種  葉に身体を冷やす成分を持っており
料理に使うと 耐暑効果を得る事ができる",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_E,Plant,03,,237,043
Warm Safflina,,"This medicinal plant grows in hot regions,
such as the Gerudo Desert. It's warm to the
touch and increases your cold resistance
when cooked into a dish.",Warm Safflina,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Cold Resistance,1,00:30,-,-,3,12,-,Orange,0,9,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ポカポカハーブ,"ゲルド地方など 気温の高い場所で育つ薬草の一種
実や葉は辛味成分が強く 料理に使うと
寒さに強くなる効果を得る事ができる",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_F,Plant,03,,238,044
Mighty Thistle,,"This medicinal plant is known for its sharp
thorns and for the fruit it bears. The fruit
contains a compound that increases attack
power when cooked into a dish.",Mighty Thistle,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Attack Up,1,00:30,-,-,5,20,-,Orange,0,9,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ツルギソウ,"葉や実にある鋭いトゲが特徴の薬草
一時的に筋力を増やす特殊な成分が含まれていて
料理に使うと 攻撃力が増える効果が発揮される",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_G,Plant,03,,245,045
Armoranth,,"This tough medicinal plant cannot be
broken, but it can be cooked. Its
durable yet flexible fibers raise your
defense when cooked into a dish.",Armoranth,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Defense Up,1,00:30,-,-,5,20,-,Purple,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヨロイソウ,"たとえ踏まれても折れない タフな薬草
その丈夫でしなやかな繊維質は 料理して食べると
体幹を強化する効能があり 防御力が増す",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_H,Plant,03,,246,046
Blue Nightshade,,"A plant that grows in quieter areas of Hyrule.
At night, it gives off a soft glow.
Cook with it to increase your stealth.",Blue Nightshade,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Stealth Up,1,00:30,-,-,4,16,-,Blue,4,24,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,しのび草,"主に森や草地に咲く花
夜になるとほのかに光を放つ
料理に使うと静かさを増やす効果が発揮される",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_I,Plant,03,,247,047
Electric Safflina,,"This medicinal plant grows abundantly in the
Gerudo Desert. Its peculiar fibers conduct
electricity, which will increase your electricity
resistance when cooked into a dish.",Electric Safflina,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Shock Resistance,1,00:30,-,-,3,12,-,Light Yellow,0,24,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ビリビリハーブ,"ゲルド砂漠に多く自生している薬草の一種
電流を外へと逃がす特殊な繊維質を持ち
料理に使うと 電気への耐性を得る事ができる",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_L,Plant,03,,239,048
Swift Violet,,"This vitality-rich flower blooms mainly on
cliffsides. When cooked into a dish, the
nourishing compounds increase your
movement speed.",Swift Violet,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Speed Up,2,00:30,-,-,10,40,-,Purple,0,90,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ゴーゴースミレ,"切り立った崖にも咲く 生命力豊かな花
料理に使うと 蓄えられた滋養成分によって
移動速度が上がる効果を得られる",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_O,Plant,03,,244,049
Sundelion,,"A wild plant that grows in the sun at high
altitudes. Soaked in sunlight, its petals can
restore health depleted by gloom when used
in cooking.",Sundelion,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Gloom Recovery,12,-,-,-,8,32,-,Yellow,10,75,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヒダマリ草,"日当たりの良い 高空に生える野草
陽の光をたっぷり浴びて育った花弁は 料理すると
瘴気に蝕まれた身体を 治癒する効能がある",TRUE,TRUE,FALSE,CookPlant,-,-,-,-,Item_PlantGet_R,Plant,03,,248,050
Raw Gourmet Meat,,"This prized cut of meat is usually from a large
animal. Any connoisseur would rank this
tender, juicy cut of meat ""gourmet."" Expect
an exquisite meal when cooking with this.",-,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,3,-,-,-,-,-,35,140,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,極上ケモノ肉,"主に大型の動物から手に入る とても貴重な肉
極上の名に負けない 旨味と食べごたえを持つ
料理に使えば 絶品の出来上がりが期待できる",TRUE,TRUE,FALSE,CookMeat,-,-,Tier 3 Meat,-,Item_Meat_11,Meat,04,,-,051
Raw Whole Bird,,"This prized meat can be obtained from
certain birds. It gets full points for flavor,
nutrition, and volume. It pairs perfectly with
other ingredients or can be enjoyed alone.",-,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,3,-,-,-,-,-,35,140,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,極上トリ肉,"一部の鳥から手に入る事がある とても貴重な肉
味 栄養 ボリューム どれを取っても満点
焼いても料理に使っても 大活躍する素材",TRUE,TRUE,TRUE,CookMeat,-,-,Tier 3 Meat,-,Item_Meat_12,Meat,04,,-,052
Raw Prime Meat,,"A fresh, high-quality piece of animal meat.
This stuff isn't easy to come by, so savor it.
Cook it to recover more hearts.",Raw Prime Meat,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,1.5,-,-,-,-,-,15,60,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,上ケモノ肉,"新鮮で上質な動物の肉
なかなか手に入るものではないが
料理に使うと高いハート回復効果がある",TRUE,TRUE,FALSE,CookMeat,-,-,Tier 2 Meat,-,Item_Meat_02,Meat,04,,-,053
Raw Bird Thigh,,"A high-quality piece of meat that's hard to
come by. You can eat it raw, but cooking it
first will recover more hearts.",-,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,1.5,-,-,-,-,-,15,60,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,上トリ肉,"鳥からたまに採る事ができる上等な肉
そのままでも食べられるが 料理に使うと
より高いハート回復効果を発揮する",TRUE,TRUE,TRUE,CookMeat,-,-,Tier 2 Meat,-,Item_Meat_07,Meat,04,,-,054
Raw Meat,,"Meat obtained from animals in plains and
forests. You can eat it raw, but cooking it will
make it more delicious and nutritious.",Raw Meat,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,1,-,-,-,-,-,8,32,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,ケモノ肉,"平原や森にいる動物から手に入る肉
そのままでも食べられるが 調理すると
おいしさアップでハートの回復量も増える",TRUE,TRUE,FALSE,CookMeat,-,-,Tier 1 Meat,-,Item_Meat_01,Meat,04,,-,055
Raw Bird Drumstick,,"This meat is tougher and chewier than a
standard steak. Tastes better cooked.",-,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,1,-,-,-,-,-,8,32,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,トリ肉,"鳥から採れた新鮮な肉
ケモノ肉に比べると脂が少なくヘルシー
焼いて食べた方がおいしく食べられる",TRUE,TRUE,TRUE,CookMeat,-,-,Tier 1 Meat,-,Item_Meat_06,Meat,04,,-,056
Courser Bee Honey,,"Honey straight from the hive is chock-full of
nutrients. Cooking this into a meal unlocks
the potential of these nutrients and provides
a stamina-recovery effect.",Courser Bee Honey,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,Rod,Beehive,-,-,-,2,Stamina Recovery,2,-,-,-,10,40,-,Orange,3,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ガンバリバチのハチミツ,"巣から採れるハチミツは 栄養満点！
その高栄養価により 隠し味として使った料理は
がんばりゲージ回復の効果を持つ",TRUE,FALSE,TRUE,CookSpice,-,-,-,-,BeeHome,Boost,05,,254,057
Hylian Rice,,"This grain is a favorite among residents of
Kakariko Village. It's grown in regions with a
lot of water and is quite versatile. Used as an
ingredient in things like risotto and rice balls.",Hylian Rice,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,1,-,-,-,00:30,-,3,12,-,White,21,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ハイラル米,"カカリコ村などで好んで食べられる穀物
主に水が豊富な地方で作られている
リゾットやおにぎりといった 米料理の材料になる",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_03,Boost,05,,-,058
Bird Egg,,"A fresh bird egg necessary for making dishes
such as omelets and crepes. You can snag
them from birds' nests if you're sneaky.
Nutritious and delicious, perfect for cooking.",Bird Egg,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,No Shield Surf Stagger When Burst,-,-,-,-,-,1,-,-,-,01:00,10%,3,12,-,Yellow,10,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.1,-,-,トリのタマゴ,"新鮮な鳥のタマゴ
太い木の上などに作られる 鳥の巣から手に入る
栄養が豊富で 料理の材料に最適",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_04,Boost,05,,-,059
Tabantha Wheat,,"This grain is cultivated extensively on the
Tabantha Plains. It's ground finely with a
millstone to be used in cooking. Use it to
make things such as stews and breads.",Tabantha Wheat,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,1,-,-,-,00:30,-,3,12,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,タバンタ小麦,"タバンタ地方の平原で 広く作られてきた穀物
石臼で細かい粉にして料理に使う
シチューやパンなどの材料になる",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_07,Boost,05,,-,060
Hateno Cheese,,"A cheese made from Hateno cow's milk.
Add it to a warm dish, and enjoy its rich flavor
and melty texture.",Hateno Cheese,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,1,-,-,-,00:50,10%,5,20,-,Light Yellow,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ハテノチーズ,"ハテノウシのミルクで作ったチーズ
温かい料理に入れればとろーり溶けて
濃厚な味わいが楽しめる",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_10,Boost,05,,-,061
Fresh Milk,,"This fresh milk comes from Hateno-bred cows
and white goats from all across Hyrule. It's
delicious on its own, but can be used in
soups and stews too.",Fresh Milk,-,-,-,-,-,TRUE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,Not Torch,No Shield Surf Stagger When Burst,-,-,-,-,0.5,-,-,-,00:50,-,3,12,-,White,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,フレッシュミルク,"村などで飼われている ハテノウシやシロヤギから
採れる新鮮なミルク  そのまま飲んでも
美味しいが スープやシチューの材料にもなる",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_05,Boost,05,,-,062
Acorn,,"Often found on the ground near trees.
Squirrels adore this nut, so you may have
competition while foraging. Add one to a
meal for a nutty seasoning.",Acorn,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.25,-,-,-,00:20,-,2,8,-,Brown,3,30,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,どんぐり,"森に落ちている木の実
リスの大好物で こっそりため込んでいる
料理に使うと ハートの回復量が少し増える",TRUE,TRUE,FALSE,CookSpice,-,-,Nut,-,Item_Fruit_K,Boost,05,,-,063
Chickaloo Tree Nut,,"Small birds love this nut. You can eat it raw
for a minor effect, but it can also be added
as a spice to other recipes.",Chickaloo Tree Nut,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0.25,-,-,-,00:10,-,3,12,-,Crimson,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,小鳥の木の実,"小鳥が好む小さな木の実
そのまま食べてもほとんど効果はないが
料理に入れるスパイスとして使われる",TRUE,TRUE,FALSE,CookSpice,-,-,Nut,-,Item_Fruit_L,Boost,05,,-,064
Cane Sugar,,"When boiled with other ingredients, the cane
breaks down into a sweet juice necessary
for making cakes and other sweets. It's
commonly found in ingredients stores.",Cane Sugar,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,-,-,-,00:50,30%,3,12,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,きび砂糖,"煮込んで出てくる甘い汁は
ケーキなどのお菓子作りには欠かせない
町や村の素材屋で売られている",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_01,Boost,05,,-,065
Goron Spice,,"Made from several types of spices, this
secret Goron seasoning has been handed
down for generations. An initial wave of
spiciness paves the way for the sweetness.",Goron Spice,-,-,-,-,-,TRUE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,Not Torch,No Shield Surf Stagger When Burst,-,-,-,-,0,-,1,-,01:00,10%,4,16,-,Crimson,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ゴロンの香辛粉,"様々な香辛料を混ぜた ゴロン秘伝のスパイス
ガツンとした辛さが 素材の旨さを引き出す 
調合方法は 代々受け継がれているらしい",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_02,Boost,05,,-,066
Goat Butter,,"Butter made from the milk of a domesticated
white goat. In addition to being used in
dishes like stews and meunière, it's often
used when making cakes and other sweets.",Goat Butter,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,-,-,-,00:50,10%,3,12,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,ヤギのバター,"飼われているシロヤギのミルクで 作られたバター
シチューやムニエルといった料理以外にも
ケーキなどのお菓子作りで よく使われる",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_06,Boost,05,,-,067
Monster Extract,,"A result of Kilton's research into monsters,
this suspicious spice can be used to punch
up dishes while cooking. Apparently it can be
used to make a number of monstrous meals.",Monster Extract,-,-,-,-,-,TRUE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,Not Torch,No Shield Surf Stagger When Burst,-,-,-,-,0,-,-,-,-,-,12,50,-,Purple,1,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,マモノエキス,"キルトンの魔物研究の成果のひとつ
料理に混ぜて使う怪しいスパイス
様々なマモノ料理が作れると言われているが…",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_08,Boost,05,,-,068
Oil Jar,,"A mild oil extracted from plant seeds, it's very
versatile in cooking and can coax flavors from
ingredients used in many dishes. Also good
for adding fuel to fire.",Oil Jar,-,-,-,-,-,TRUE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,No Shield Surf Stagger When Burst,-,-,-,-,0,-,-,-,00:50,10%,3,12,-,Light Yellow,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.01,-,-,油ツボ,"植物の種から抽出した クセが少ない油
その用途は幅広く 料理に入れれば風味が増し
たき火に入れれば 燃料として使う事もできる",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_09,Boost,05,,-,069
Dark Clump,,"An unusual substance, it's cold to the touch,
and it seems as though it's filled with pitch-
black darkness. Use it in cooking to get a
gloom-resistant effect.",-,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,FALSE,Blunt,More Shield Surfing Friction,-,-,-,-,-,-,0,Gloom Resistance,1,00:30,-,-,5,20,10,Purple,0,15,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,1,-,-,闇の塊,"漆黒の闇をたたえている 見た事が無い物質
触ると心なしかひんやりしている
料理に使うと 瘴気の影響を抑える効能がある",TRUE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Material_11,Boost,05,,-,070
Rock Salt,,"Crystallized salt from the ancient sea
commonly used to season meals. 
Cannot be eaten in this form.",Rock Salt,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,-,-,-,-,-,-,-,-,-,00:30,-,2,12,-,Peach,0,0,-,-,-,-,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,-,-,岩塩,"大昔の海の塩が結晶化した
おいしい料理には欠かせない調味料の元
そのままでは食べられない",FALSE,TRUE,FALSE,CookSpice,-,-,-,-,Item_Ore_H,Boost,05,,-,071
Star Fragment,,"A mysterious stone fragment that fell from the
sky. Its gem-like quality makes it highly
valuable. One theory is that it has the power
to light up its environment.",Star Fragment,-,-,-,-,-,FALSE,TRUE,1,1,1,1,-,TRUE,Blunt,More Shield Surfing Friction,Not Torch,Rod,-,-,-,-,-,-,-,-,01:00,100%,200,800,-,White,0,103,-,-,9pm - 4am,5am,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,-,-,星のかけら,"空の彼方から落ちてきた 不思議な石のかけら
材質は宝石に近く価値が高い
一説では あたりを照らす力を秘めているという",FALSE,TRUE,FALSE,CookLowPrice,CookSpice,-,-,-,Item_Ore_J,Boost,05,,-,072
Hearty Salmon,,"This fish makes its home in cold water, giving
it extra layers of fat. It'll restore all your hearts
and temporarily increase your maximum
hearts when used in cooking.",Hearty Salmon,-,-,-,-,-,FALSE,FALSE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,Extra Hearts,16,-,-,-,20,80,-,-,0,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,マックスサーモン,"寒冷地の川や湖に棲む魚  調理して食べると
寒さに耐えるため 体内に蓄えられた脂身が
ハートを全回復し 最大値を増やす効果をもたらす",TRUE,-,-,CookFish,-,-,-,-,Item_FishGet_I,Fish,06,800,056,073
Hearty Bass,,"This large fish lives near the water's edge.
Its sizable body can store a lot of nutrients.
When used in cooking, it'll restore all your
hearts and increase your maximum hearts.",Hearty Bass,-,-,-,-,-,FALSE,FALSE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,Extra Hearts,8,-,-,-,18,72,-,-,0,9,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,マックスバス,"水辺に棲む大型の魚 大きな体にたくさんの
栄養を蓄えていて 料理に使うとハートを全回復し
さらに最大値を増やす効果がある",TRUE,-,-,CookFish,-,-,-,-,Item_FishGet_B,Fish,06,795,054,074
Hyrule Bass,,"An ordinary fish that hasn't changed for
ages. It can be eaten raw, but cooking
it amplifies its healing benefits.",Hyrule Bass,-,-,-,-,-,FALSE,FALSE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,24,-,-,0,15,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,ハイラルバス,"はるか昔から 姿形が変わらない 一般的な魚
そのままでも食べられるが 調理すると
回復効果も大きくなる",TRUE,-,-,CookFish,-,-,Bass,-,Item_FishGet_A,Fish,06,790,053,075
Staminoka Bass,,"This Hyrule bass got to be the biggest fish
by never getting caught (until now). Its long
life results in a cooked dish that will restore
a lot of stamina.",Staminoka Bass,-,-,-,-,-,FALSE,FALSE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Stamina Recovery,4,-,-,-,18,72,-,-,1,0,-,-,-,-,0,TRUE,TRUE,TRUE,FALSE,FALSE,0.1,-,-,ガンバリバス,"長い間生きたハイラルバスと言われている
生命力が非常に強く 調理して食べると
がんばりゲージが一気に回復する",TRUE,-,-,CookFish,-,-,Bass,-,Item_FishGet_L,Fish,06,785,055,076
